Ref Probe,,0,J2:TMP117,1,J2:Si7051,2,J2:AS6221,3,J2:ADT7422,4,J1:Si7051,5,J1:AS6221,6,J1:ADT7422
Rref,Tref,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value
1.012076433E+02,,1209.336,-0.0078125,1209.342,2.882277727127075,1209.343,2.953125,1209.343,2.96875,1209.35,2.935903310775757,1209.35,-0.0078125,1209.351,2.9296875
1.012080707E+02,,1209.401,-0.0078125,1209.407,2.8715527057647705,1209.408,2.953125,1209.408,2.96875,1209.415,2.935903310775757,1209.415,-0.0078125,1209.415,2.9296875
1.012082402E+02,,1209.466,-0.0078125,1209.472,2.882277727127075,1209.473,2.953125,1209.473,2.9453125,1209.48,2.9144530296325684,1209.48,-0.0078125,1209.481,2.9296875
1.012081756E+02,,1209.531,-0.0078125,1209.537,2.860827684402466,1209.538,2.96875,1209.538,2.9453125,1209.545,2.925178289413452,1209.545,-0.0078125,1209.545,2.9609375
1.012081547E+02,,1209.596,-0.0078125,1209.602,2.882277727127075,1209.603,2.96875,1209.603,2.9453125,1209.61,2.935903310775757,1209.61,-0.0078125,1209.61,2.9609375
1.012080326E+02,,1209.661,-0.0078125,1209.667,2.860827684402466,1209.668,2.9609375,1209.668,2.9375,1209.675,2.9144530296325684,1209.675,-0.0078125,1209.676,2.9609375
1.012076960E+02,,1209.726,-0.0078125,1209.732,2.882277727127075,1209.733,2.9609375,1209.733,2.9375,1209.74,2.9144530296325684,1209.74,-0.0078125,1209.74,2.9609375
1.012078281E+02,,1209.791,-0.0078125,1209.797,2.860827684402466,1209.798,2.9609375,1209.798,2.9375,1209.805,2.9144530296325684,1209.805,-0.0078125,1209.806,2.953125
1.012077927E+02,,1209.856,-0.0078125,1209.862,2.860827684402466,1209.863,2.953125,1209.863,2.9375,1209.87,2.935903310775757,1209.87,-0.0078125,1209.871,2.953125
1.012077297E+02,,1209.921,-0.0078125,1209.927,2.8715527057647705,1209.928,2.953125,1209.928,2.9140625,1209.935,2.9144530296325684,1209.935,-0.0078125,1209.936,2.953125
1.024039089E+02,,1209.986,-0.0078125,1209.992,2.850102424621582,1209.993,2.9375,1209.993,2.9140625,1210.0,2.935903310775757,1210.0,-0.0078125,1210.001,2.953125
1.024038552E+02,,1210.051,-0.0078125,1210.057,2.882277727127075,1210.058,2.9375,1210.058,2.9140625,1210.065,2.935903310775757,1210.065,-0.0078125,1210.066,2.9453125
1.024037875E+02,,2012.466,-0.0078125,2012.472,5.853129863739014,2012.473,5.9609375,2012.473,5.9140625,2012.48,5.938930511474609,2012.48,-0.0078125,2012.481,5.8984375
1.024036574E+02,,2012.531,-0.0078125,2012.537,5.842404842376709,2012.538,5.9609375,2012.538,5.9453125,2012.545,5.91748046875,2012.545,-0.0078125,2012.546,5.8984375
1.024035923E+02,,2012.596,-0.0078125,2012.602,5.874579906463623,2012.603,5.96875,2012.603,5.9453125,2012.61,5.928205490112305,2012.61,-0.0078125,2012.611,5.9375
1.024034559E+02,,2012.661,-0.0078125,2012.667,5.863854885101318,2012.668,5.96875,2012.668,5.9453125,2012.675,5.91748046875,2012.675,-0.0078125,2012.676,5.9375
1.024036110E+02,,2012.726,-0.0078125,2012.732,5.885305404663086,2012.733,5.9609375,2012.733,5.9453125,2012.74,5.906755447387695,2012.74,-0.0078125,2012.741,5.9375
1.024036928E+02,,2012.791,-0.0078125,2012.797,5.874579906463623,2012.798,5.9609375,2012.798,5.90625,2012.805,5.91748046875,2012.805,-0.0078125,2012.806,5.9375
1.024037144E+02,,2012.856,-0.0078125,2012.862,5.885305404663086,2012.863,5.9609375,2012.863,5.90625,2012.87,5.91748046875,2012.87,-0.0078125,2012.871,5.9375
1.024036578E+02,,2012.921,-0.0078125,2012.927,5.874579906463623,2012.928,5.953125,2012.928,5.90625,2012.935,5.928205490112305,2012.935,-0.0078125,2012.936,5.9375
1.024037987E+02,,2012.986,-0.0078125,2012.992,5.874579906463623,2012.993,5.953125,2012.993,5.90625,2013.0,5.91748046875,2013.0,-0.0078125,2013.001,5.9375
1.024037496E+02,,2013.051,-0.0078125,2013.057,5.853129863739014,2013.058,5.9609375,2013.058,5.9453125,2013.065,5.91748046875,2013.065,-0.0078125,2013.066,5.9140625
1.024036539E+02,,2013.116,-0.0078125,2013.122,5.853129863739014,2013.123,5.9609375,2013.123,5.9453125,2013.13,5.928205490112305,2013.13,-0.0078125,2013.131,5.9140625
1.024035424E+02,,2013.181,-0.0078125,2013.187,5.853129863739014,2013.188,5.9609375,2013.188,5.9453125,2013.195,5.938930511474609,2013.195,-0.0078125,2013.196,5.9140625
1.024033775E+02,,2013.246,-0.0078125,2013.252,5.874579906463623,2013.253,5.9609375,2013.253,5.921875,2013.26,5.938930511474609,2013.26,-0.0078125,2013.261,5.9140625
1.024034284E+02,,2013.311,-0.0078125,2013.317,5.853129863739014,2013.318,5.9609375,2013.318,5.921875,2013.325,5.928205490112305,2013.325,-0.0078125,2013.326,5.9140625
1.024034718E+02,,2013.376,-0.0078125,2013.382,5.885305404663086,2013.383,5.9609375,2013.383,5.921875,2013.39,5.91748046875,2013.39,-0.0078125,2013.391,5.9140625
1.024032355E+02,,2013.441,-0.0078125,2013.447,5.863854885101318,2013.448,5.9609375,2013.448,5.921875,2013.455,5.928205490112305,2013.455,-0.0078125,2013.456,5.9140625
1.024036221E+02,,2013.506,-0.0078125,2013.512,5.874579906463623,2013.513,5.9609375,2013.513,5.9453125,2013.52,5.91748046875,2013.52,-0.0078125,2013.521,5.9453125
1.035929709E+02,,2013.571,-0.0078125,2013.577,5.863854885101318,2013.578,5.96875,2013.578,5.9453125,2013.585,5.896030426025391,2013.585,-0.0078125,2013.586,5.9453125
1.035928645E+02,,2013.636,-0.0078125,2013.642,5.874579906463623,2013.643,5.96875,2013.643,5.9453125,2013.65,5.91748046875,2013.65,-0.0078125,2013.651,5.9453125
1.035926762E+02,,2013.701,-0.0078125,2013.707,5.874579906463623,2013.708,5.953125,2013.708,5.9453125,2013.715,5.91748046875,2013.715,-0.0078125,2013.716,5.9453125
1.035927331E+02,,2904.166,-0.0078125,2904.172,8.86688232421875,2904.173,8.9453125,2904.173,8.9375,2904.18,8.899057388305664,2904.18,-0.0078125,2904.181,8.921875
1.035927546E+02,,2904.231,-0.0078125,2904.237,8.856157302856445,2904.238,8.9375,2904.238,8.9375,2904.245,8.899057388305664,2904.245,-0.0078125,2904.246,8.921875
1.035926956E+02,,2904.296,-0.0078125,2904.302,8.84543228149414,2904.303,8.9375,2904.303,8.9375,2904.31,8.920507431030273,2904.31,-0.0078125,2904.311,8.921875
1.035926983E+02,,2904.361,-0.0078125,2904.367,8.84543228149414,2904.368,8.9375,2904.368,8.9375,2904.375,8.909782409667969,2904.375,-0.0078125,2904.376,8.9375
1.035931934E+02,,2904.426,-0.0078125,2904.432,8.86688232421875,2904.433,8.953125,2904.433,8.9375,2904.44,8.920507431030273,2904.44,-0.0078125,2904.441,8.9375
