Ref Probe,,0,J2:TMP117,1,J2:Si7051,2,J2:AS6221,3,J2:ADT7422,4,J1:Si7051,5,J1:AS6221,6,J1:ADT7422
Rref,Tref,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value
1.000200749E+02,0.005173405635105155,297.436,-0.0078125,297.442,-0.11002441495656967,297.443,-0.015625,297.443,-0.0546875,297.45,-0.06712402403354645,297.45,-0.0078125,297.45,-0.0234375
1.000200618E+02,0.005140561450843961,297.5,-0.0078125,297.506,-0.09929931908845901,297.507,-0.015625,297.507,-0.0546875,297.514,-0.03494872897863388,297.514,-0.0078125,297.514,-0.0234375
1.000202555E+02,0.005626204117561429,297.564,-0.0078125,297.57,-0.11002441495656967,297.571,-0.0390625,297.571,-0.0546875,297.578,-0.045673828572034836,297.578,-0.0078125,297.578,-0.0234375
1.000203494E+02,0.005861629266860291,297.628,-0.0078125,297.634,-0.13147461414337158,297.635,-0.0390625,297.635,-0.0546875,297.642,-0.06712402403354645,297.642,-0.0078125,297.642,-0.0234375
1.000201372E+02,0.005329603554116602,297.692,-0.0078125,297.698,-0.12074951082468033,297.699,-0.0390625,297.699,-0.0546875,297.706,-0.045673828572034836,297.706,-0.0078125,297.706,-0.0390625
1.000201197E+02,0.00528572773345104,297.756,-0.0078125,297.762,-0.11002441495656967,297.763,-0.015625,297.763,-0.0546875,297.77,-0.06712402403354645,297.77,-0.0078125,297.77,-0.0390625
1.000203573E+02,0.005881436069387291,297.82,-0.0078125,297.826,-0.11002441495656967,297.827,-0.015625,297.827,-0.0546875,297.834,-0.06712402403354645,297.834,-0.0078125,297.834,-0.0390625
1.000201599E+02,0.005386516762428073,297.884,-0.0078125,297.89,-0.09929931908845901,297.891,-0.0234375,297.891,-0.0234375,297.898,-0.06712402403354645,297.898,-0.0078125,297.898,-0.0390625
1.000198068E+02,0.004501228158972026,297.948,-0.0078125,297.954,-0.11002441495656967,297.955,-0.0234375,297.955,-0.0234375,297.962,-0.05639892444014549,297.962,-0.0078125,297.962,-0.0390625
1.000200372E+02,0.005078884586623644,298.012,-0.0078125,298.018,-0.12074951082468033,298.019,-0.0234375,298.019,-0.0234375,298.026,-0.0778491199016571,298.026,-0.0078125,298.026,-0.0390625
